collection,search_time,avg_similarity_score,relevance_score,topic_coverage,num_results
bert-300tokens,0.009976696968078614,0.7905722627999999,0.071,0.135,5.0
bert-500tokens,0.010454511642456055,0.7812701272,0.093,0.225,5.0
biobert-300tokens,0.010694408416748047,0.8675231597999999,0.096,0.315,5.0
biobert-500tokens,0.010346555709838867,0.8547512822,0.125,0.35,5.0
openai-large-1000tokens,0.03479166030883789,0.5985790486,0.304,0.53,5.0
openai-large-300tokens,0.032886600494384764,0.6509360304,0.319,0.49000000000000005,5.0
openai-large-500tokens,0.03139925003051758,0.6327379150000001,0.32799999999999996,0.45999999999999996,5.0
