collection,search_time,avg_similarity_score,relevance_score,topic_coverage,num_results
bert-300tokens,0.01044759750366211,0.9092073424,0.177,0.44000000000000006,5.0
bert-500tokens,0.011002659797668457,0.8993229408,0.10600000000000001,0.22000000000000003,5.0
biobert-300tokens,0.010522270202636718,0.8675231597999999,0.096,0.315,5.0
biobert-500tokens,0.010477375984191895,0.8547512822,0.125,0.35,5.0
openai-large-1000tokens,0.03494102954864502,0.5986573062,0.304,0.53,5.0
openai-large-300tokens,0.033756685256958005,0.6509451740000001,0.319,0.49000000000000005,5.0
openai-large-500tokens,0.030864191055297852,0.6327630698,0.32799999999999996,0.45999999999999996,5.0
