collection,search_time,avg_similarity_score,relevance_score,topic_coverage,num_results
biobert-300tokens,0.011166119575500488,0.9112671638000001,0.092,0.2,5.0
biobert-500tokens,0.011419725418090821,0.9036648726,0.11000000000000001,0.32,5.0
openai-large-1000tokens,0.034776926040649414,0.5986337102,0.304,0.53,5.0
openai-large-300tokens,0.033877897262573245,0.6509235006,0.319,0.49000000000000005,5.0
openai-large-500tokens,0.032002615928649905,0.6327539798,0.32799999999999996,0.45999999999999996,5.0
pubmedbert-300tokens,0.010704398155212402,0.009777370387,0.08499999999999999,0.21000000000000002,5.0
pubmedbert-500tokens,0.012036490440368652,0.0032546323199000005,0.10600000000000001,0.205,5.0
