collection,search_time,avg_similarity_score,relevance_score,topic_coverage,num_results
bert-300tokens,0.01018378734588623,0.7905722627999999,0.071,0.135,5.0
bert-500tokens,0.01072080135345459,0.7812701272,0.093,0.225,5.0
biobert-300tokens,0.010650086402893066,0.9112671638000001,0.092,0.2,5.0
biobert-500tokens,0.01011221408843994,0.9036648726,0.11000000000000001,0.32,5.0
openai-large-1000tokens,0.03360238075256348,0.5985575074,0.304,0.53,5.0
openai-large-300tokens,0.033117032051086424,0.6509100516,0.319,0.49000000000000005,5.0
openai-large-500tokens,0.03567485809326172,0.632834829,0.32799999999999996,0.45999999999999996,5.0
pubmedbert-300tokens,0.010341405868530273,0.907903164,0.135,0.315,5.0
pubmedbert-500tokens,0.010447502136230469,0.8993229408,0.10600000000000001,0.22000000000000003,5.0
